Title,Place of Publication,Publisher,Date Issued,Subject - Topic,Subject - Name [personal],Subject - Name [corporate],Abstract (Description),Contributing Repository
"Court House, Caddo Parish. Shreveport, La.",,,Circa 1906,Postcards--Louisiana--Shreveport; Courthouses--Louisiana--Shreveport.,,"Caddo Parish Court House (Shreveport, La.)","Photographic postcard of the Caddo Parish Court House in Shreveport, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Shreveport, La Union Depot",,,Circa 1906,Postcards--Louisiana--Shreveport; Railroad stations--Louisiana--Shreveport.,,"Union Depot (Shreveport, La.)","Photographic postcard of the Union Depot in Shreveport, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Shreveport High School,,,Circa 1906,Postcards--Louisiana--Shreveport; School buildings--Louisiana--Shreveport.,,,"Photographic postcard of Shreveport High School in Shreveport, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Plaquemine New Court House,Plaquemine (La.),F.F. Bouvy,Circa 1906,Postcards--Louisiana--Plaquemine; Courthouses--Louisiana--Plaquemine.,,,"Photographic postcard of the new court house in Plaquemine, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Convent at Plaquemine, La.",Plaquemine (La.),F.F. Bouvy,Circa 1906,Postcards--Louisiana--Plaquemine; Convents--Louisiana--Plaquemine.,,,"Photographic postcard of a convent in Plaquemine, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Front View Plaquemine Locks, Plaquemine, La.",Plaquemine (La.),F.F. Bouvy,Circa 1906,Postcards--Louisiana--Plaquemine; Locks (Hydraulic engineering)--Louisiana--Plaquemine.,,,"Photographic postcard of the front view of Plaquemine Locks in Plaquemine, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"The Beach, Biloxi, Miss.",,,Circa 1906,Postcards--Mississippi--Biloxi; Beaches--Mississippi--Biloxi.,,,"Photographic postcard of the beach in Biloxi, Mississippi.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Alexandria, La., Post Office",,,Circa 1906,Postcards--Louisiana--Alexandria; Post office buildings--Louisiana--Alexandria.,,,"Photographic postcard of the post office in Alexandria, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Alexandria, La., Parish Jail",,,Circa 1906,Postcards--Louisiana--Alexandria; Jails--Louisiana--Alexandria.,,,"Photographic postcard of the parish jail in Alexandria, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Alexandria, La., Sherman Cook's Residence",,,Circa 1906,Postcards--Louisiana--Alexandria; Historic buildings--Louisiana--Alexandria.,"Cook, Sherman--Homes and haunts--Louisiana--Alexandria.",,"Photographic postcard of the Sherman Cook's residence in Alexandria, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Alexandria, La., Sanitarium",,,Circa 1906,Postcards--Louisiana--Alexandria; Sanatoriums--Louisiana--Alexandria.,,"Alexandria Sanitarium (Alexandria, La.)","Photographic postcard of the Alexandria Sanitarium in Alexandria, La.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Unidentified house,,,Circa 1906,"Postcards; Architecture, domestic.",,,Photographic postcard of a house.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
